Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:00:54.9,  00:37:54.6. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:01:14.5,  00:38:54.4. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,1, 2575644, 6000, 183623, 737626,  00:00:11.4,  00:28:13.4. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,2, 2575644, 6000, 183623, 737626,  00:00:10.3,  00:19:43.7. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,3, 2575644, 6000, 183623, 737626,  00:00:08.4,  00:19:50.1. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,4, 2575644, 6000, 183623, 737626,  00:00:07.2,  00:22:55.5. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,5, 2575644, 6000, 183623, 737626,  00:00:07.0,  00:23:15.7. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,6, 2575644, 6000, 183623, 737626,  00:00:08.1,  00:23:02.7. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,7, 2575644, 6000, 183623, 737626,  00:00:07.0,  00:25:55.3. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:07.3,  00:30:09.3. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:05.3,  00:19:38.6. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:04.8,  00:22:32.6. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.4,  00:23:26.6. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:13:26.4,  00:40:17.0. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:30:14.1. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.6,  00:35:13.0. 
log_files/Model ( so_2024_EI_01 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:30:30.6,  02:03:51.9. 
log_files/Model ( so_2024_EI_01 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  01:31:14.5,  01:57:41.6. 
log_files/Model ( so_2024_EI_01 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  02:29:43.9,  03:00:39.0. 
log_files/Model ( so_2024_EI_01 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:53:29.6,  02:24:35.3. 
log_files/Model ( so_2024_EI_01 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:58:11.0,  02:24:53.8. 
log_files/Model ( so_2024_EI_01 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:56:10.3,  02:20:27.7. 
log_files/Model ( so_2024_EI_01 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  01:45:50.7,  02:20:27.2. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:06.2,  00:26:38.6. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:09.1,  00:21:07.5. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:06.5,  00:19:11.1. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:06.4,  00:22:39.3. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:06.8,  00:20:24.8. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:06.8,  00:20:16.5. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:06.4,  00:21:39.3. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,1, 2705788, 21024, 419674, 7298021,  00:00:20.9,  00:30:04.3. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,2, 2705788, 21024, 419674, 7298028,  00:01:14.1,  00:21:18.6. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,3, 2705788, 21024, 419674, 7298028,  00:00:49.2,  00:24:48.8. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,4, 2705788, 21024, 419674, 7298028,  00:00:47.9,  00:28:44.7. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,5, 2705788, 21024, 419674, 7298028,  00:00:36.9,  00:29:23.1. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,6, 2705788, 21024, 419674, 7298028,  00:00:56.6,  00:28:07.3. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,7, 2705788, 21024, 419674, 7298028,  00:00:44.6,  00:17:11.8. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:13.1,  00:28:45.1. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:19.1,  00:23:40.9. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:17.0,  00:24:44.2. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:15.9,  00:24:54.0. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:21.3,  00:24:20.4. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:16.4,  00:18:05.5. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:17.7,  00:18:21.8. 
log_files/Model ( so_2024_EI_19 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:54:04.4,  02:26:17.1. 
log_files/Model ( so_2024_EI_19 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  02:01:36.2,  02:36:15.6. 
log_files/Model ( so_2024_EI_19 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  01:40:08.2,  02:08:07.8. 
log_files/Model ( so_2024_EI_19 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:24:01.1,  01:51:01.3. 
log_files/Model ( so_2024_EI_19 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:40:57.3,  02:12:46.1. 
log_files/Model ( so_2024_EI_19 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:23:01.9,  02:23:27.4. 
log_files/Model ( so_2024_EI_19 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  01:38:06.1,  02:37:27.1. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,1, 2705788, 21024, 419674, 7298021,  00:00:16.8,  00:28:06.2. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,2, 2705788, 21024, 419674, 7298028,  00:00:47.9,  00:19:31.1. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,3, 2705788, 21024, 419674, 7298028,  00:00:52.4,  00:24:21.2. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,4, 2705788, 21024, 419674, 7298028,  00:00:46.1,  00:25:08.6. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,5, 2705788, 21024, 419674, 7298028,  00:00:34.8,  00:31:37.1. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,6, 2705788, 21024, 419674, 7298028,  00:00:40.0,  00:32:56.4. 
log_files/Model ( b_2024_EI_PJM_37 ) Log (2).txt,7, 2705788, 21024, 419674, 7298028,  00:00:25.9,  00:36:24.4. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:06.3,  00:27:07.2. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:22:10.7. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:04.5,  00:22:14.9. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.6,  00:17:56.6. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:00:04.0,  00:20:20.0. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.4,  00:24:33.4. 
log_files/Model ( b_2024_EI_CAN_25 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.1,  00:27:03.9. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:05.1,  00:28:22.5. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:06.5,  00:19:52.5. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:04.6,  00:22:33.5. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:22:43.0. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:24:34.1. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:28:29.9. 
log_files/Model ( b_2024_EI_CAN_19 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.7,  00:31:24.1. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:11.6,  00:29:11.9. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:17.4,  00:22:05.0. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:18.6,  00:24:23.5. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:18.5,  00:26:55.4. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:17.5,  00:25:52.9. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:18.7,  00:17:16.0. 
log_files/Model ( b_2024_EI_ISONE_13 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:20.1,  00:18:15.8. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:06.2,  00:28:55.3. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:08.4,  00:22:43.6. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:09.8,  00:20:34.9. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:08.6,  00:21:19.1. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:07.8,  00:23:02.9. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:07.0,  00:16:10.0. 
log_files/Model ( b_2024_EI_NYISO_07 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:07.2,  00:18:37.3. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:05.7,  00:31:17.5. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:07.0,  00:20:43.2. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:04.4,  00:20:51.3. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:05.0,  00:25:28.6. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:00:05.0,  00:26:59.4. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.6,  00:31:15.7. 
log_files/Model ( b_2024_EI_CAN_31 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:05.1,  00:40:10.5. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,1, 2705788, 21024, 419674, 7298021,  00:00:31.3,  00:29:29.8. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,2, 2705788, 21024, 419674, 7298028,  00:00:42.5,  00:21:35.9. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,3, 2705788, 21024, 419674, 7298028,  00:00:28.5,  00:26:12.2. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,4, 2705788, 21024, 419674, 7298028,  00:00:40.8,  00:28:07.2. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,5, 2705788, 21024, 419674, 7298028,  00:00:45.4,  00:34:01.9. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,6, 2705788, 21024, 419674, 7298028,  00:00:42.7,  00:31:04.9. 
log_files/Model ( b_2024_EI_PJM_19 ) Log (3).txt,7, 2705788, 21024, 419674, 7298028,  00:00:47.6,  00:18:51.4. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:22.5,  00:29:01.8. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:46.7,  00:20:27.3. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:32.5,  00:22:55.9. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:30.1,  00:26:45.5. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:38.2,  00:29:52.5. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:45.5,  00:30:45.2. 
log_files/Model ( b_2024_EI_SPP_43 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:49.3,  00:21:36.6. 
log_files/Model ( so_2024_EI_13 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:18:27.5,  01:49:29.4. 
log_files/Model ( so_2024_EI_13 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  02:10:44.5,  02:40:36.7. 
log_files/Model ( so_2024_EI_13 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  02:03:08.7,  02:46:49.5. 
log_files/Model ( so_2024_EI_13 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:49:14.3,  02:32:12.0. 
log_files/Model ( so_2024_EI_13 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:36:35.7,  02:15:50.0. 
log_files/Model ( so_2024_EI_13 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:35:29.9,  02:12:44.2. 
log_files/Model ( so_2024_EI_13 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  01:53:27.5,  02:25:46.9. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,1, 2753948, 23808, 479725, 9991618,  00:00:46.3,  00:30:13.3. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,2, 2753948, 23808, 479725, 9991624,  00:01:24.8,  00:25:21.6. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,3, 2753948, 23808, 479725, 9991624,  00:01:15.4,  00:30:33.9. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,4, 2753948, 23808, 479725, 9991624,  00:00:54.7,  00:21:42.6. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,5, 2753948, 23808, 479725, 9991624,  00:01:12.4,  00:29:04.0. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,6, 2753948, 23808, 479725, 9991624,  00:02:03.7,  00:41:19.8. 
log_files/Model ( b_2024_EI_SE_43 ) Log (2).txt,7, 2753948, 23808, 479725, 9991624,  00:02:30.6,  00:50:57.4. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:06.7,  00:30:13.5. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:04.8,  00:22:32.6. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:04.7,  00:28:38.1. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.5,  00:28:22.0. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:00:04.8,  00:19:44.0. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.7,  00:21:41.9. 
log_files/Model ( b_2024_EI_CAN_13 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:05.0,  00:27:04.2. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:11.9,  00:27:52.2. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:19.0,  00:21:36.3. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:18.2,  00:20:16.7. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:17.0,  00:24:05.3. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:17.6,  00:24:21.0. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:19.1,  00:28:14.8. 
log_files/Model ( b_2024_EI_ISONE_25 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:15.8,  00:30:59.4. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,1, 2738212, 22320, 456872, 18750130,  00:00:53.2,  00:28:22.1. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,2, 2738212, 22320, 456872, 18750141,  00:02:17.5,  00:27:40.2. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,3, 2738212, 22320, 456872, 18750141,  00:02:31.5,  00:29:38.0. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,4, 2738212, 22320, 456872, 18750141,  00:01:27.8,  00:26:44.9. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,5, 2738212, 22320, 456872, 18750141,  00:01:18.8,  00:33:53.6. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:01:35.2,  00:37:55.9. 
log_files/Model ( b_2024_EI_MISO_01 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:01:40.1,  00:20:53.1. 
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,1, 2753948, 23808, 479725, 9991618,  00:00:58.9,  00:32:34.0. 
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,2, 2753948, 23808, 479725, 9991624,  00:01:45.6,  00:31:42.8. 
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,3, 2753948, 23808, 479725, 9991624,  00:01:43.6,  00:30:29.8. 
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,4, 2753948, 23808, 479725, 9991624,  00:02:06.7,  00:33:19.1. 
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,5, 2753948, 23808, 479725, 9991624,  00:01:54.1,  00:42:57.3. 
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,6, 2753948, 23808, 479725, 9991624,  00:02:33.4,  00:44:38.4. 
