Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
log_files/Model ( b_2024_EI_SE_25 ) Log (3).txt,7, 2753948, 23808, 479725, 9991624,  00:02:07.3,  00:22:08.8. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:29.3,  00:31:24.6. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:51.5,  00:21:12.2. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:53.0,  00:24:21.1. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:42.1,  00:25:18.9. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:35.4,  00:28:25.5. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:01:01.0,  00:34:01.3. 
log_files/Model ( b_2024_EI_SPP_19 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:46.5,  00:37:18.8. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:05.9,  00:26:37.6. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:08.9,  00:20:42.3. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:09.5,  00:20:50.5. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:08.3,  00:21:50.3. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:07.3,  00:25:37.0. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:07.0,  00:20:32.9. 
log_files/Model ( b_2024_EI_NYISO_13 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:06.6,  00:16:37.6. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:28.8,  00:28:10.1. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:38.5,  00:22:24.5. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:46.1,  00:23:15.3. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:45.3,  00:25:47.8. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:34.3,  00:28:08.0. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:36.6,  00:18:00.4. 
log_files/Model ( b_2024_EI_SPP_01 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:27.0,  00:21:07.1. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,1, 2753948, 23808, 479725, 9991618,  00:00:48.0,  00:30:17.4. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,2, 2753948, 23808, 479725, 9991624,  00:01:44.7,  00:29:26.0. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,3, 2753948, 23808, 479725, 9991624,  00:01:34.5,  00:32:01.6. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,4, 2753948, 23808, 479725, 9991624,  00:01:28.4,  00:24:15.7. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,5, 2753948, 23808, 479725, 9991624,  00:01:06.3,  00:28:49.0. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,6, 2753948, 23808, 479725, 9991624,  00:01:27.9,  00:40:46.1. 
log_files/Model ( b_2024_EI_SE_37 ) Log (2).txt,7, 2753948, 23808, 479725, 9991624,  00:00:52.5,  00:49:07.0. 
log_files/Model ( so_2024_EI_07 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:11:11.9,  01:40:18.2. 
log_files/Model ( so_2024_EI_07 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  01:04:47.7,  01:36:43.5. 
log_files/Model ( so_2024_EI_07 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  01:07:53.7,  01:57:33.2. 
log_files/Model ( so_2024_EI_07 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:31:03.9,  02:12:52.5. 
log_files/Model ( so_2024_EI_07 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:47:04.7,  02:29:47.6. 
log_files/Model ( so_2024_EI_07 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:32:26.6,  02:10:37.7. 
log_files/Model ( so_2024_EI_07 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  01:38:30.1,  02:10:40.8. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,1, 2705788, 21024, 419674, 7298021,  00:00:24.3,  00:28:57.8. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,2, 2705788, 21024, 419674, 7298028,  00:00:47.6,  00:22:01.0. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,3, 2705788, 21024, 419674, 7298028,  00:00:27.8,  00:23:24.4. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,4, 2705788, 21024, 419674, 7298028,  00:00:43.5,  00:26:23.3. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,5, 2705788, 21024, 419674, 7298028,  00:00:39.3,  00:25:38.6. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,6, 2705788, 21024, 419674, 7298028,  00:00:26.0,  00:18:52.8. 
log_files/Model ( b_2024_EI_PJM_31 ) Log (3).txt,7, 2705788, 21024, 419674, 7298028,  00:00:33.5,  00:22:22.6. 
log_files/Model ( so_2024_EI_31 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:24:13.9,  01:54:15.2. 
log_files/Model ( so_2024_EI_31 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  01:27:35.8,  01:56:46.8. 
log_files/Model ( so_2024_EI_31 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  00:53:06.1,  01:35:25.2. 
log_files/Model ( so_2024_EI_31 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:41:58.0,  02:22:53.3. 
log_files/Model ( so_2024_EI_31 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:31:50.8,  02:05:08.4. 
log_files/Model ( so_2024_EI_31 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:53:55.6,  02:24:34.8. 
log_files/Model ( so_2024_EI_31 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  02:41:04.7,  03:12:25.2. 
log_files/Model ( so_2024_EI_37 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:15:35.5,  01:46:23.1. 
log_files/Model ( so_2024_EI_37 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  01:50:03.5,  02:22:34.2. 
log_files/Model ( so_2024_EI_37 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  01:59:25.9,  02:32:42.9. 
log_files/Model ( so_2024_EI_37 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:52:50.5,  02:50:27.4. 
log_files/Model ( so_2024_EI_37 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:54:58.9,  02:54:31.3. 
log_files/Model ( so_2024_EI_37 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:07:57.8,  02:08:56.9. 
log_files/Model ( so_2024_EI_37 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  00:59:33.3,  01:57:01.9. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,1, 2738212, 22320, 456872, 18750130,  00:00:51.2,  00:36:10.8. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,2, 2738212, 22320, 456872, 18750141,  00:01:13.7,  00:34:03.0. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,3, 2738212, 22320, 456872, 18750141,  00:00:53.4,  00:29:51.6. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,4, 2738212, 22320, 456872, 18750141,  00:01:01.9,  00:42:49.0. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,5, 2738212, 22320, 456872, 18750141,  00:01:41.0,  00:43:15.5. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,6, 2738212, 22320, 456872, 18750141,  00:01:24.9,  00:26:43.4. 
log_files/Model ( b_2024_EI_MISO_07 ) Log (3).txt,7, 2738212, 22320, 456872, 18750141,  00:01:50.1,  00:39:54.5. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,1, 2753948, 23808, 479725, 9991618,  00:00:43.6,  00:32:06.2. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,2, 2753948, 23808, 479725, 9991624,  00:00:48.5,  00:30:05.5. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,3, 2753948, 23808, 479725, 9991624,  00:01:07.8,  00:23:19.3. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,4, 2753948, 23808, 479725, 9991624,  00:01:29.0,  00:28:10.7. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,5, 2753948, 23808, 479725, 9991624,  00:01:29.0,  00:39:15.6. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,6, 2753948, 23808, 479725, 9991624,  00:01:15.3,  00:48:52.6. 
log_files/Model ( b_2024_EI_SE_07 ) Log (2).txt,7, 2753948, 23808, 479725, 9991624,  00:00:45.9,  00:19:50.0. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:11.3,  00:27:48.8. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:18.2,  00:20:51.2. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:16.0,  00:24:31.6. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:17.8,  00:24:18.0. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:16.3,  00:25:21.6. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:17.7,  00:24:59.9. 
log_files/Model ( b_2024_EI_ISONE_19 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:16.5,  00:18:27.2. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:11.5,  00:28:49.5. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:18.1,  00:19:58.0. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:19.7,  00:20:22.1. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:16.3,  00:23:44.7. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:16.3,  00:24:17.0. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:15.4,  00:25:49.2. 
log_files/Model ( b_2024_EI_ISONE_01 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:14.7,  00:29:56.2. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,1, 2753948, 23808, 479725, 9991618,  00:00:56.8,  00:29:37.9. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,2, 2753948, 23808, 479725, 9991624,  00:01:34.7,  00:24:55.3. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,3, 2753948, 23808, 479725, 9991624,  00:00:57.5,  00:27:41.2. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,4, 2753948, 23808, 479725, 9991624,  00:01:00.6,  00:20:08.6. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,5, 2753948, 23808, 479725, 9991624,  00:00:55.5,  00:24:09.8. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,6, 2753948, 23808, 479725, 9991624,  00:01:22.7,  00:34:52.5. 
log_files/Model ( b_2024_EI_SE_31 ) Log (3).txt,7, 2753948, 23808, 479725, 9991624,  00:02:11.1,  00:44:19.2. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,1, 2753948, 23808, 479725, 9991618,  00:00:57.0,  00:28:44.4. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,2, 2753948, 23808, 479725, 9991624,  00:01:24.4,  00:23:34.7. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,3, 2753948, 23808, 479725, 9991624,  00:01:07.6,  00:31:04.0. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,4, 2753948, 23808, 479725, 9991624,  00:01:36.2,  00:32:06.6. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,5, 2753948, 23808, 479725, 9991624,  00:01:25.6,  00:22:38.1. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,6, 2753948, 23808, 479725, 9991624,  00:01:23.7,  00:32:49.5. 
log_files/Model ( b_2024_EI_SE_19 ) Log (3).txt,7, 2753948, 23808, 479725, 9991624,  00:01:16.0,  00:43:15.2. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,1, 2738212, 22320, 456872, 18750130,  00:01:34.4,  00:32:31.4. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,2, 2738212, 22320, 456872, 18750141,  00:02:01.3,  00:24:02.2. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,3, 2738212, 22320, 456872, 18750141,  00:01:19.4,  00:32:04.7. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,4, 2738212, 22320, 456872, 18750141,  00:01:18.1,  00:37:52.3. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,5, 2738212, 22320, 456872, 18750141,  00:01:41.0,  00:26:11.2. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:01:21.0,  00:35:13.3. 
log_files/Model ( b_2024_EI_MISO_19 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:01:18.7,  00:44:32.7. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:05.3,  00:26:52.4. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:09.5,  00:22:25.8. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:05.8,  00:18:48.0. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:06.7,  00:19:05.9. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:06.0,  00:19:19.0. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:05.7,  00:19:43.1. 
log_files/Model ( b_2024_EI_NYISO_31 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:05.7,  00:23:22.6. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,1, 2738212, 22320, 456872, 18750130,  00:00:49.7,  00:29:19.9. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,2, 2738212, 22320, 456872, 18750141,  00:01:26.9,  00:25:12.1. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,3, 2738212, 22320, 456872, 18750141,  00:01:23.1,  00:24:02.1. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,4, 2738212, 22320, 456872, 18750141,  00:01:10.8,  00:28:46.0. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,5, 2738212, 22320, 456872, 18750141,  00:01:44.8,  00:38:37.8. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:01:57.7,  00:38:35.6. 
log_files/Model ( b_2024_EI_MISO_25 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:01:00.0,  00:26:56.0. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,1, 2738212, 22320, 456872, 18750130,  00:01:12.2,  00:27:25.7. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,2, 2738212, 22320, 456872, 18750141,  00:01:21.6,  00:24:06.8. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,3, 2738212, 22320, 456872, 18750141,  00:01:35.0,  00:28:53.5. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,4, 2738212, 22320, 456872, 18750141,  00:01:02.6,  00:21:52.6. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,5, 2738212, 22320, 456872, 18750141,  00:01:23.0,  00:29:39.2. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:01:53.8,  00:31:55.0. 
log_files/Model ( b_2024_EI_MISO_13 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:02:33.0,  00:22:19.1. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:05.5,  00:30:27.6. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:09.1,  00:22:40.4. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:06.9,  00:23:47.3. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:05.8,  00:24:24.2. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:06.0,  00:24:46.5. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:06.3,  00:27:44.9. 
log_files/Model ( b_2024_EI_NYISO_25 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:06.5,  00:29:11.4. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,1, 2705788, 21024, 419674, 7298021,  00:00:21.1,  00:31:50.6. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,2, 2705788, 21024, 419674, 7298028,  00:00:30.9,  00:28:51.3. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,3, 2705788, 21024, 419674, 7298028,  00:00:26.6,  00:27:56.7. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,4, 2705788, 21024, 419674, 7298028,  00:00:38.5,  00:20:22.8. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,5, 2705788, 21024, 419674, 7298028,  00:00:42.1,  00:24:27.6. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,6, 2705788, 21024, 419674, 7298028,  00:00:40.7,  00:30:57.7. 
log_files/Model ( b_2024_EI_PJM_07 ) Log (2).txt,7, 2705788, 21024, 419674, 7298028,  00:00:40.9,  00:36:12.7. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:18.5,  00:29:11.9. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:23.0,  00:22:25.1. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:24.5,  00:25:58.2. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:29.4,  00:25:44.7. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:28.5,  00:19:18.8. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:29.6,  00:20:59.3. 
log_files/Model ( b_2024_EI_SPP_31 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:35.3,  00:26:21.4. 
